seed,agents,ticks,days_per_tick,start_open_ar,end_open_ar,end_overdue_ar,end_dso,collected,unapplied_cash,emails_sent,escalations
101,off,8,7,16582487.88,10549409.9,7896150.38,104.2,9006246.81,3901903.2,0,0
101,on,8,7,16582487.88,7350352.18,5514787.83,81.7,11143022.22,537343.64,2051,1530
102,off,8,7,16582487.88,10478012.28,8915071.88,116.2,8082990.28,3830343.01,0,0
102,on,8,7,16582487.88,5833378.02,4373760.41,67.0,12287903.58,463800.98,1898,1432
103,off,8,7,16582487.88,10724037.15,8230070.53,110.4,8463756.25,3949793.05,0,0
103,on,8,7,16582487.88,5786117.65,4240056.29,64.9,12562320.56,626131.01,1888,1342
